,name,time,tweet
105,fourtyfy_hacker,2023-01-06 08:37:33+00:00,"Have exclusive Hacking jobs?
DM and Ask for my service!!
#hacked #icloud #facebookdown #imessage #ransomware… https://t.co/rZXjWQyfOq"
106,fourtyfy_hacker,2023-01-06 08:37:15+00:00,"strange ways emproyees can (accidently) expose data  
#DataSecurity #Privacy
#100DaysOfCode #CloudSecurity… https://t.co/vJaDPtszlr"
107,BOOTSTRAP PARADOX,2023-01-06 08:36:59+00:00,"Have exclusive Hacking jobs?
DM and Ask for my service.
#hacked #icloud #facebookdown #imessage #ransomware… https://t.co/sIpFzaMvEu"
108,Nicolas Krassas,2023-01-06 08:36:58+00:00,Rackspace Sunsets Email Service Downed in Ransomware Attack https://t.co/yYSRSqorZ8
109,Danny Palmer,2023-01-06 08:36:33+00:00,The BBC reports that information from UK schools stolen and posted online by ransomware hackers includes children's… https://t.co/OOKDIXcDDJ
110,BOOTSTRAP PARADOX,2023-01-06 08:36:31+00:00,"I Offer the best recovery services on all social media accounts hacking, Infiltration and recovery.… https://t.co/5zigrPR6nK"
111,fourtyfy_hacker,2023-01-06 08:36:18+00:00,"Is there any Hacking attempts on your device?
DM now for risk free security solutions.
#hacked #icloud… https://t.co/CcLwnXYVsZ"
112,Prateek Sinha,2023-01-06 08:36:15+00:00,Data-Leaking Ransomware Report #Databreach #ransomware via https://t.co/KN3irU5cZw https://t.co/62qOsGSjgg
113,PCrisk,2023-01-06 08:35:30+00:00,"Stop/Djvu Ransomware (v0628); Extension: .bpto; Ransom note: _readme.txt

https://t.co/xr6eAmUOsB

@Amigo_A_… https://t.co/glVwmQlCWw"
114,ruinabadguysday,2023-01-06 08:34:35+00:00,"Top story: Rackspace blames ransomware woes on zero-day attack • The Register https://t.co/UZzxfE5LhS, see more https://t.co/z9RiglYbFO"
115,Ricoh South Africa,2023-01-06 08:33:10+00:00,Ransomware attacks are getting smarter. The perimeter-based defences you use to protect your organisation are quick… https://t.co/g64N2GNlSG
116,BOOTSTRAP PARADOX,2023-01-06 08:32:41+00:00,"I offer the best recovery services and social media accounts hacking and infiltration. 
#hackedinstagram… https://t.co/XdWThcXjxE"
117,DarkFeed,2023-01-06 08:31:39+00:00,"🌐 Hive #Ransomware team added the Consulate Health Care (🇺🇸) to the victims list 🚨

""One of our vendors suffered a… https://t.co/1M7Czkv7ho"
118,Grepnetics,2023-01-06 08:31:11+00:00,"Is mandatory password expiration helping or hurting your password security?
#DataSecurity #Privacy
#100DaysOfCode… https://t.co/XV9J3dICry"
119,Jennifer Lyn Walker,2023-01-06 08:30:57+00:00,Unraveling the techniques of Mac ransomware - Microsoft Security Blog https://t.co/vOvHJzVMTO
120,fourtyfy_hacker,2023-01-06 08:28:16+00:00,"Is there any Hacking attempts on your device?
DM now for risk free security solutions.
#hacked #icloud… https://t.co/6JpX8hRQ09"
121,fourtyfy_hacker,2023-01-06 08:27:55+00:00,"Is there any Hacking attempts on your device?
DM now for risk free security solutions.
#hacked #icloud… https://t.co/yi8wVXpYSO"
122,mitnick crest,2023-01-06 08:27:23+00:00,"Wondering how to #Recover, #hacked, retrieve, or protect any accounts or wallets DM now
#CyberSecurity #hacker… https://t.co/3Xp7OP6uGE"
123,RJ,2023-01-06 08:26:21+00:00,@_JohnHammond You get a chance to read this write-up? https://t.co/YkX0vVK0Ho
124,fourtyfy_hacker,2023-01-06 08:26:04+00:00,"8 strange ways emproyees can (accidently) expose data

#DataSecurity #Privacy
#100DaysOfCode #CloudSecurity… https://t.co/Cty2koQvFG"
125,mitnick crest,2023-01-06 08:25:59+00:00,"Have exclusive Hacking jobs?
DM and Ask for my service.
#hacked #icloud #facebookdown #imessage #ransomware… https://t.co/vU43pVjHcL"
126,fourtyfy_hacker,2023-01-06 08:25:45+00:00,"Have exclusive Hacking jobs?
DM and Ask for my service!!
#hacked #icloud #facebookdown #imessage #ransomware… https://t.co/hNn9wycCfN"
127,Jerric Hack,2023-01-06 08:24:27+00:00,"Instant Inbox for all lost or suspended account recovery services,
 Inbox Now let's get it done.
 #hacked #icloud… https://t.co/YVu6sD2Cim"
128,mitnick crest,2023-01-06 08:24:22+00:00,"Have exclusive Hacking jobs?
DM and Ask for my service.
#hacked #icloud #facebookdown
#imessage #ransomware… https://t.co/wiH1jmjYy2"
129,ZURAIHAH BT ISMAIL,2023-01-06 08:22:57+00:00,"Hacking is easy,
DM to Recover or Hack accounts and missing phones.
#gmailhack
#gmaildown #hacked #Hacking… https://t.co/LclZplIy8W"
130,mitnick crest,2023-01-06 08:22:46+00:00,"Offering the best recovery services.
And media accounts hacking, Infiltration,
and recovery.
#hackedinstagram… https://t.co/9hKHT1JtL9"
131,StatHacks,2023-01-06 08:21:54+00:00,"Recover locked/lost accounts with ease,
DM for all account retrievals.
#gmailhack #gmaildown #hacked #Hacking… https://t.co/sfmEm3UPwX"
132,LoydHacks,2023-01-06 08:21:05+00:00,"Recover locked/lost accounts with ease,
DM for all account retrievals.
#gmailhack #gmaildown #hacked #Hacking… https://t.co/y5HRWEYt6Z"
133,TechNative,2023-01-06 08:21:00+00:00,"Mobile cyberattacks: The different facets of smartphone malware 

#infosec #cyberthreats #cyberattacks #leaders… https://t.co/zlQ6ohYFxU"
134,StatHacks,2023-01-06 08:20:46+00:00,"Recover locked/lost accounts with ease,
DM for all account retrievals.
#gmailhack #gmaildown #hacked #Hacking… https://t.co/VpFNzGdmvL"
135,ZURAIHAH BT ISMAIL,2023-01-06 08:20:40+00:00,"DM for all account retrievals.
Recover locked/lost accounts with ease,#gmailhack #gmaildown #hacked #Hacking… https://t.co/7DNA08ttCZ"
136,StatHacks,2023-01-06 08:20:10+00:00,"Ethically Hacking is easy for specialists.
DM for all cyber related problems.
#hacked #icloud #facebookdown… https://t.co/s8w8PLGNmA"
137,fourtyfy_hacker,2023-01-06 08:20:00+00:00,"Is mandatory password expiration helping or hurting your password security?
#DataSecurity #Privacy
#100DaysOfCode… https://t.co/FnTyUCzCXW"
138,ZURAIHAH BT ISMAIL,2023-01-06 08:19:28+00:00,"Is there any Hacking attempts on your device?
DM now for risk free security solutions.
#hacked #icloud… https://t.co/9g0Lu8VbbU"
139,Denise Nelson,2023-01-06 08:19:22+00:00,I was quite surprised to witness a scene where a professor was describing how Bitcoin has been linked to recent ran… https://t.co/Sqxp6nTag1
140,Grepnetics,2023-01-06 08:19:14+00:00,"8 strange ways emproyees can (accidently) expose data

#DataSecurity #Privacy
#100DaysOfCode #CloudSecurity… https://t.co/rbgGuTdZEy"
141,Paul Martinez,2023-01-06 08:19:00+00:00,The FBI's Perspective on Ransomware https://t.co/Xj9VdZ8F17
142,LoydHacks,2023-01-06 08:18:33+00:00,"Ethically Hacking is easy for specialists.
DM for all cyber related problems.
#hacked #icloud #facebookdown… https://t.co/iW0wNlfUPD"
143,• Oracle •,2023-01-06 08:16:58+00:00,"Ethically Hacking is easy for specialists.
DM for all cyber related problems.
#hacked #icloud #facebookdown… https://t.co/u5dTq347MQ"
144,CyberGuardNews,2023-01-06 08:16:10+00:00,Play #ransomware Group Used New #exploitation Method in Rackspace Attack | https://t.co/cUkPAdXOOi https://t.co/hQyzCv4wss #Sec_Cyber
145,ZURAIHAH BT ISMAIL,2023-01-06 08:14:07+00:00,"Ethically Hacking is easy for specialists.
DM for all cyber related problems.
#hacked #icloud #facebookdown… https://t.co/gh5BVR9M6c"
146,BOOTSTRAP PARADOX,2023-01-06 08:13:38+00:00,"Is mandatory password expiration helping or hurting your password security?
#DataSecurity #Privacy
#100DaysOfCode… https://t.co/rfYAS0XOQJ"
147,• Oracle •,2023-01-06 08:13:27+00:00,"Need a hacker to do the job?
Lost your account and need a recovery but don't know how?
Inbox now for help and guide… https://t.co/RCbdKyppo3"
148,BOOTSTRAP PARADOX,2023-01-06 08:13:11+00:00,"Wondering how to #Recover, #hacked, retrieve, or protect any accounts or wallets DM now
#CyberSecurity #hacker… https://t.co/r3sZTJCuWq"
149,mitnick crest,2023-01-06 08:12:53+00:00,"Have exclusive Hacking jobs?
DM and Ask for my service.
#hacked #icloud #facebookdown #imessage #ransomware… https://t.co/Et3cfVPnWs"
150,BOOTSTRAP PARADOX,2023-01-06 08:12:36+00:00,"Do you have exclusive tasks?
DM and Ask for my service
#hacked #icloud #facebookdown #imessage #ransomware… https://t.co/ZN9zSBPADX"
151,jeanson_hack583,2023-01-06 08:12:20+00:00,"Instant Inbox for all lost or suspended account recovery services,
 Inbox Now let's get it done.
 #hacked #icloud… https://t.co/pwkuoqCexx"
152,mitnick crest,2023-01-06 08:11:54+00:00,"Offering the best recovery services.
And media accounts hacking, Infiltration, and recovery.
#hackedinstagram… https://t.co/OebneAFv2G"
153,StatHacks,2023-01-06 08:11:44+00:00,"Need a hacker to do the job?
Lost your account and need a recovery but don't know how?
Inbox now for help and guide… https://t.co/WxJJZgfkRk"
154,ZURAIHAH BT ISMAIL,2023-01-06 08:10:57+00:00,"Hackers know Hacking is easy for specialists.
DM for all cyber related problems.
#hacked #icloud #facebookdown… https://t.co/jeqIF8QnrE"
155,ThatBangaloreGuy,2023-01-06 08:10:05+00:00,"After a #ransomware attack, the Canadian Copper Mountain Mining Corporation (CMMC) has isolated operations and swit… https://t.co/RQ7bUCtuLx"
156,LoydHacks,2023-01-06 08:09:55+00:00,"Need a hacker to do the job?
Lost your account and need a recovery but don't know how?
Inbox now for help and guide… https://t.co/94bnsuWqxD"
